run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75va2,BTCUSDm,2024.08.05 01:21:40,-1,0.00,54965.74,0.01,37.48,8.68,578.53,sl
BS75va2,BTCUSDm,2024.08.12 11:02:40,-1,0.00,59315.42,0.01,3.31,6.71,447.06,sl
BS75va2,BTCUSDm,2024.08.15 12:37:40,-1,0.00,59276.35,0.01,-10.49,10.49,699.47,sl
BS75va2,BTCUSDm,2024.08.16 02:31:40,-1,0.00,58027.43,0.01,-9.89,9.89,659.55,sl
BS75va2,BTCUSDm,2024.08.19 13:33:40,-1,0.00,59015.27,0.01,-5.54,5.55,369.79,sl
BS75va2,BTCUSDm,2024.09.04 15:02:20,-1,0.00,57699.43,0.01,-8.66,8.66,577.52,sl
BS75va2,BTCUSDm,2024.09.07 15:07:40,-1,0.00,54834.55,0.01,-0.91,9.33,622.14,sl
BS75va2,BTCUSDm,2024.09.23 13:00:00,1,62986.65,63298.48,0.01,3.12,7.64,509.62,time_exit
BS75va2,BTCUSDm,2024.09.23 13:00:00,1,0.00,63298.48,0.01,2.47,7.64,509.62,time_exit
BS75va2,BTCUSDm,2024.09.27 18:26:40,1,0.00,65684.62,0.01,-6.18,6.19,412.37,sl
BS75va2,BTCUSDm,2024.10.06 15:27:40,1,0.00,62447.21,0.03,-8.33,8.33,185.22,sl
BS75va2,BTCUSDm,2024.10.07 09:22:40,1,0.00,63184.66,0.01,-5.20,5.20,346.90,sl
BS75va2,BTCUSDm,2024.10.10 22:37:40,-1,0.00,60193.19,0.01,-6.33,6.33,421.90,sl
BS75va2,BTCUSDm,2024.10.15 14:37:40,1,0.00,66259.21,0.01,19.24,6.87,457.87,sl
BS75va2,BTCUSDm,2024.10.15 14:45:40,1,0.00,65382.05,0.01,-7.03,7.03,468.48,sl
BS75va2,BTCUSDm,2024.10.21 13:17:40,1,0.00,67879.85,0.01,-6.08,6.64,442.62,sl
BS75va2,BTCUSDm,2024.10.24 16:15:20,1,0.00,67296.26,0.01,-5.80,5.80,386.60,sl
BS75va2,BTCUSDm,2024.10.25 04:21:40,1,0.00,67711.99,0.01,-6.12,5.96,397.21,sl
BS75va2,BTCUSDm,2024.10.29 19:59:40,1,0.00,72454.36,0.01,40.39,4.69,312.50,sl
BS75va2,BTCUSDm,2024.11.05 15:30:40,1,0.00,69342.45,0.01,-6.47,6.46,430.96,sl
BS75va2,BTCUSDm,2024.11.07 22:07:40,1,0.00,75841.44,0.01,-8.16,8.15,543.51,sl
BS75va2,BTCUSDm,2024.11.10 20:55:20,1,0.00,79005.36,0.01,-1.85,8.41,560.46,sl
BS75va2,BTCUSDm,2024.11.20 16:30:40,1,0.00,93566.42,0.01,-8.86,8.85,590.32,sl
BS75va2,BTCUSDm,2024.11.21 15:34:40,1,0.00,96051.22,0.01,25.64,9.64,642.98,sl
BS75va2,BTCUSDm,2024.11.29 17:20:40,1,0.00,97219.42,0.01,-9.45,9.45,629.99,sl
BS75va2,BTCUSDm,2024.12.02 00:08:40,1,0.00,97222.56,0.01,-6.88,6.88,458.74,sl
BS75va2,BTCUSDm,2024.12.02 03:32:40,1,0.00,97378.31,0.01,-7.46,7.46,497.20,sl
BS75va2,BTCUSDm,2024.12.09 00:25:40,1,0.00,100314.17,0.01,-9.26,9.25,616.99,sl
BS75va2,BTCUSDm,2024.12.16 02:23:40,1,0.00,104731.40,0.01,18.27,7.47,497.76,sl
BS75va2,BTCUSDm,2024.12.17 15:11:40,1,0.00,107258.68,0.01,-9.50,9.50,633.48,sl
BS75va2,BTCUSDm,2024.12.30 17:43:40,-1,0.00,93325.57,0.01,-8.20,8.56,570.77,sl
