run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75f,BTCUSDm,2025.09.12 20:20:00,1,0.00,116230.01,0.01,-3.46,6.25,416.94,dd_kill
BS75f,BTCUSDm,2025.09.15 07:31:40,1,0.00,115935.98,0.01,-6.11,6.11,407.35,sl
BS75f,BTCUSDm,2025.10.05 09:29:40,1,0.00,124065.11,0.01,-0.31,7.13,475.56,sl
BS75f,BTCUSDm,2025.12.15 00:31:40,-1,0.00,88649.21,0.01,7.13,4.37,291.52,sl
BS75f,BTCUSDm,2026.01.04 19:08:40,1,0.00,90861.78,0.01,-4.39,4.39,292.61,sl
BS75f,BTCUSDm,2026.01.06 00:39:40,1,0.00,93552.52,0.01,11.49,5.03,335.60,sl
BS75f,BTCUSDm,2026.01.12 08:33:20,1,0.00,91027.68,0.01,-2.75,5.86,390.68,sl
BS75f,BTCUSDm,2026.01.25 10:24:40,-1,0.00,88492.26,0.01,-3.45,3.46,230.41,sl
BS75f,BTCUSDm,2026.01.26 01:07:40,-1,0.00,87239.44,0.01,7.23,5.32,354.90,sl
BS75f,BTCUSDm,2026.01.30 04:01:40,-1,0.00,82661.85,0.01,42.02,6.78,451.96,sl
BS75f,BTCUSDm,2026.02.17 16:01:40,-1,0.00,67646.45,0.01,-8.19,8.20,546.45,sl
BS75f,BTCUSDm,2026.02.23 06:37:40,-1,0.00,65589.48,0.01,11.25,5.02,334.77,sl
BS75f,BTCUSDm,2026.02.28 13:59:40,-1,0.00,65174.81,0.01,3.00,8.75,583.02,sl
BS75f,BTCUSDm,2026.03.09 03:15:20,-1,0.00,67538.25,0.01,23.86,7.99,532.69,sl
BS75f,BTCUSDm,2026.03.13 15:55:40,1,0.00,71889.35,0.01,-5.98,8.65,576.51,sl
BS75f,BTCUSDm,2026.03.16 08:44:40,1,0.00,73088.81,0.01,9.49,5.32,354.95,sl
BS75f,BTCUSDm,2026.03.22 03:27:40,-1,0.00,69416.51,0.01,-4.99,4.98,332.12,sl
BS75f,BTCUSDm,2026.03.22 13:03:40,-1,0.00,68940.03,0.01,-7.32,7.32,488.03,sl
BS75f,BTCUSDm,2026.03.23 03:02:40,-1,0.00,68517.29,0.01,-6.43,6.43,428.95,sl
BS75f,BTCUSDm,2026.03.28 15:20:40,-1,0.00,67226.02,0.01,6.40,7.14,476.09,sl
BS75f,BTCUSDm,2026.03.30 00:19:40,-1,0.00,66417.31,0.01,-6.14,6.15,409.86,sl
BS75f,BTCUSDm,2026.04.02 14:36:40,-1,0.00,66769.36,0.01,-7.33,7.34,489.19,sl
BS75f,BTCUSDm,2026.04.06 22:59:40,1,0.00,68842.40,0.01,-1.75,5.99,399.20,sl
BS75f,BTCUSDm,2026.04.11 06:03:20,1,0.00,72672.85,0.01,-7.67,7.19,479.63,sl
BS75f,BTCUSDm,2026.04.11 23:04:40,1,0.00,73207.28,0.01,-3.88,3.88,258.58,sl
BS75f,BTCUSDm,2026.04.14 15:00:40,1,0.00,74995.60,0.01,-5.88,5.89,392.50,sl
BS75f,BTCUSDm,2026.04.17 10:28:40,1,0.00,75209.90,0.01,-6.03,6.03,402.20,sl
BS75f,BTCUSDm,2026.04.18 08:35:40,1,0.00,76593.94,0.01,-8.47,8.00,533.00,sl
BS75f,BTCUSDm,2026.04.22 23:58:20,1,0.00,78204.04,0.01,-6.87,6.87,457.83,sl
BS75f,BTCUSDm,2026.04.26 21:34:00,1,78302.19,78036.24,0.02,-5.32,6.86,228.78,dd_kill
BS75f,BTCUSDm,2026.04.26 21:34:00,1,0.00,78036.24,0.02,-5.32,6.86,228.78,dd_kill
BS75f,BTCUSDm,2026.05.04 10:04:40,1,0.00,79264.28,0.01,13.16,5.33,355.57,sl
BS75f,BTCUSDm,2026.05.06 14:06:40,1,0.00,81293.67,0.01,-6.67,6.67,444.63,sl
BS75f,BTCUSDm,2026.05.10 20:45:40,1,0.00,80723.62,0.01,-0.88,3.36,223.90,sl
BS75f,BTCUSDm,2026.05.11 00:20:40,1,0.00,81408.28,0.01,-6.49,6.49,432.49,sl
BS75f,BTCUSDm,2026.05.11 03:12:40,1,0.00,80807.16,0.01,-6.77,6.77,451.37,sl
BS75f,BTCUSDm,2026.05.21 10:26:40,1,0.00,77263.43,0.01,-6.37,6.36,424.14,sl
BS75f,BTCUSDm,2026.05.23 18:12:40,-1,0.00,75710.77,0.01,-2.57,6.30,420.26,sl
BS75f,BTCUSDm,2026.05.29 15:36:40,-1,0.00,74092.60,0.01,14.50,6.98,465.05,sl
