run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75tr2,BTCUSDm,2020.01.02 10:12:40,-1,0.00,7144.97,0.48,-23.23,23.23,32.26,sl
BS75tr2,BTCUSDm,2020.01.03 04:40:40,-1,0.00,7021.88,0.24,1.35,16.87,46.85,sl
BS75tr2,BTCUSDm,2020.01.05 21:31:40,1,0.00,7383.13,0.20,-14.04,14.04,46.80,sl
BS75tr2,BTCUSDm,2020.01.07 13:05:20,1,0.00,7817.34,0.16,42.45,10.89,45.36,sl
BS75tr2,BTCUSDm,2020.01.08 16:30:40,1,0.00,8185.34,0.08,10.54,8.92,74.33,sl
BS75tr2,BTCUSDm,2020.01.11 11:04:00,1,0.00,8013.09,0.05,-8.49,8.48,113.12,sl
BS75tr2,BTCUSDm,2020.01.14 16:01:40,1,0.00,8565.01,0.38,116.69,27.44,48.13,sl
BS75tr2,BTCUSDm,2020.01.15 04:06:40,1,0.00,8619.09,0.13,-20.81,18.72,95.98,sl
BS75tr2,BTCUSDm,2020.01.19 07:04:40,1,0.00,9030.06,0.13,-12.19,12.19,62.50,sl
BS75tr2,BTCUSDm,2020.01.28 05:22:20,1,0.00,8946.13,0.22,82.46,16.56,50.17,sl
BS75tr2,BTCUSDm,2020.01.29 11:37:40,1,0.00,9218.33,0.06,-9.63,9.63,107.05,sl
BS75tr2,BTCUSDm,2020.01.31 02:12:40,1,0.00,9421.49,0.11,-15.82,14.05,85.15,sl
BS75tr2,BTCUSDm,2020.02.03 02:00:40,1,0.00,9399.21,0.21,-21.80,21.79,69.19,sl
BS75tr2,BTCUSDm,2020.02.06 00:19:40,1,0.00,9559.11,0.23,33.49,18.34,53.15,sl
BS75tr2,BTCUSDm,2020.02.06 13:48:40,1,0.00,9705.68,0.16,-17.14,17.14,71.41,sl
BS75tr2,BTCUSDm,2020.02.10 05:57:40,1,0.00,9972.92,0.24,15.33,20.67,57.41,sl
BS75tr2,BTCUSDm,2020.02.11 16:31:40,1,0.00,10078.44,0.14,-16.49,16.49,78.52,sl
BS75tr2,BTCUSDm,2020.02.13 09:25:40,1,0.00,10099.19,0.07,-12.54,11.24,107.02,sl
BS75tr2,BTCUSDm,2020.02.19 21:36:40,1,0.00,9984.99,0.11,-9.51,13.51,81.88,sl
BS75tr2,BTCUSDm,2020.02.23 12:03:40,1,0.00,9837.95,0.50,19.50,30.62,40.83,sl
BS75tr2,BTCUSDm,2020.02.27 12:17:40,-1,0.00,8899.52,0.14,40.77,22.26,105.99,sl
BS75tr2,BTCUSDm,2020.02.28 13:08:40,-1,0.00,8635.97,0.08,-10.00,10.00,83.29,sl
BS75tr2,BTCUSDm,2020.03.01 23:17:20,-1,0.00,8568.71,0.15,-18.06,18.06,80.26,sl
BS75tr2,BTCUSDm,2020.03.09 05:54:40,-1,0.00,7888.84,0.36,377.43,29.31,54.28,sl
