row_id,window,source_audit_file,source_ticket,signal_bar_open_time,mql_xau_bar_time,audit_xau_bar_time,timestamp_exact,xau_timestamp_exact,direction_audit,direction_mql,direction_exact,audit_ema48,mql_ema48,diff_ema48,tol_ema48,audit_residual,mql_residual,diff_residual,tol_residual,audit_sigma48,mql_sigma48,diff_sigma48,tol_sigma48,audit_z_score,mql_z_score,diff_z_score,tol_z_score,audit_atr14,mql_atr14,diff_atr14,tol_atr14,audit_atr_p20,mql_atr_p20,diff_atr_p20,tol_atr_p20,audit_atr_p80,mql_atr_p80,diff_atr_p80,tol_atr_p80,audit_xau_return,mql_xau_return,diff_xau_return,tol_xau_return,audit_xau_open,mql_xau_open,diff_xau_open,tol_xau_open,audit_xau_close,mql_xau_close,diff_xau_close,tol_xau_close,row_status
AUDIT_WINTER_23,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,23,2023.01.26 04:00:00,2023.01.26 04:00:00,2023.01.26 04:00,1,1,long,long,1,129.628,129.6284171646,0.000417164600009,0.000500000001,-0.563,-0.5634171646,0.0004171646,0.000500000001,0.233,0.2333881954,0.0003881954,0.000500000001,-2.41408,-2.4140773856,2.6143999996e-06,5.000001e-06,0.178,0.1780714286,7.14286e-05,0.000500000001,0.167,0.1667857143,0.0002142857,0.000500000001,0.290,0.2895714286,0.0004285714,0.000500000001,-0.000538,-0.0005375640,4.36e-07,5.00001e-07,1947.675,1947.6750000000,0,0.000500000001,1946.628,1946.6280000000,0,0.000500000001,PASS
AUDIT_WINTER_25,WINTER,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,25,2023.01.30 05:00:00,2023.01.30 05:00:00,2023.01.30 05:00,1,1,long,long,1,129.890,129.8898894738,0.00011052619999,0.000500000001,-0.262,-0.2618894738,0.0001105262,0.000500000001,0.138,0.1382832059,0.0002832059,0.000500000001,-1.89386,-1.8938631926,3.19259999992e-06,5.000001e-06,0.212,0.2119285714,7.14286e-05,0.000500000001,0.156,0.1562142857,0.0002142857,0.000500000001,0.266,0.2660714286,7.14286e-05,0.000500000001,-0.000468,-0.0004680919,9.19e-08,5.00001e-07,1933.381,1933.3810000000,0,0.000500000001,1932.476,1932.4760000000,0,0.000500000001,PASS
AUDIT_DSTTR_3,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,3,2023.03.20 06:30:00,2023.03.20 06:30:00,2023.03.20 06:30,1,1,long,long,1,132.226,132.2258224945,0.000177505500005,0.000500000001,-1.124,-1.1238224945,0.0001775055,0.000500000001,0.318,0.3179246956,7.53044e-05,0.000500000001,-3.53487,-3.5348700811,8.10999996048e-08,5.000001e-06,0.262,0.2620000000,0,0.000500000001,0.147,0.1474285714,0.0004285714,0.000500000001,0.326,0.3262142857,0.0002142857,0.000500000001,-0.000721,-0.0007205885,4.115e-07,5.00001e-07,1990.040,1990.0400000000,0,0.000500000001,1988.606,1988.6060000000,0,0.000500000001,PASS
AUDIT_DSTTR_5,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,5,2023.03.21 09:00:00,2023.03.21 09:00:00,2023.03.21 09:00,1,1,short,short,1,131.571,131.5711287081,0.000128708099993,0.000500000001,0.645,0.6448712919,0.0001287081,0.000500000001,0.312,0.3116029910,0.000397009,0.000500000001,2.06953,2.0695285684,1.43159999988e-06,5.000001e-06,0.190,0.1905000000,0.0005,0.000500000001,0.155,0.1551428571,0.0001428571,0.000500000001,0.341,0.3405000000,0.0005,0.000500000001,0.000548,0.0005482470,2.47e-07,5.00001e-07,1966.267,1966.2670000000,0,0.000500000001,1967.345,1967.3450000000,0,0.000500000001,PASS
AUDIT_DSTTR_7,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,7,2023.03.22 07:30:00,2023.03.22 07:30:00,2023.03.22 07:30,1,1,short,short,1,132.279,132.2787605068,0.000239493199985,0.000500000001,0.312,0.3122394932,0.0002394932,0.000500000001,0.179,0.1792420477,0.0002420477,0.000500000001,1.74200,1.7419991414,8.58599999987e-07,5.000001e-06,0.167,0.1666428571,0.0003571429,0.000500000001,0.160,0.1599285714,7.14286e-05,0.000500000001,0.341,0.3405000000,0.0005,0.000500000001,0.001960,0.0019602313,2.313e-07,5.00001e-07,1935.996,1935.9960000000,0,0.000500000001,1939.791,1939.7910000000,0,0.000500000001,PASS
AUDIT_DSTTR_9,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,9,2023.03.23 01:00:00,2023.03.23 01:00:00,2023.03.23 01:00,1,1,long,long,1,131.920,131.9197099765,0.000290023499986,0.000500000001,-1.023,-1.0227099765,0.0002900235,0.000500000001,0.535,0.5353912117,0.0003912117,0.000500000001,-1.91021,-1.9102106165,6.16499999939e-07,5.000001e-06,0.293,0.2930714286,7.14286e-05,0.000500000001,0.171,0.1710714286,7.14286e-05,0.000500000001,0.341,0.3405000000,0.0005,0.000500000001,-0.001684,-0.0016843610,3.61e-07,5.00001e-07,1972.855,1972.8550000000,0,0.000500000001,1969.532,1969.5320000000,0,0.000500000001,PASS
AUDIT_DSTTR_11,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,11,2023.03.24 01:00:00,2023.03.24 01:00:00,2023.03.24 01:00,1,1,long,long,1,130.979,130.9793897860,0.000389786,0.000500000001,-0.623,-0.6233897860,0.000389786,0.000500000001,0.340,0.3401165072,0.0001165072,0.000500000001,-1.83287,-1.8328713040,1.30399999998e-06,5.000001e-06,0.239,0.2385714286,0.0004285714,0.000500000001,0.182,0.1815714286,0.0004285714,0.000500000001,0.341,0.3405000000,0.0005,0.000500000001,-0.000770,-0.0007704176,4.176e-07,5.00001e-07,1993.724,1993.7240000000,0,0.000500000001,1992.188,1992.1880000000,0,0.000500000001,PASS
AUDIT_DSTTR_13,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,13,2023.03.27 06:30:00,2023.03.27 06:30:00,2023.03.27 06:30,1,1,short,short,1,130.700,130.6999416147,5.83852999796e-05,0.000500000001,0.564,0.5640583853,5.83853e-05,0.000500000001,0.332,0.3315377699,0.0004622301,0.000500000001,1.70134,1.7013397461,2.53900000136e-07,5.000001e-06,0.193,0.1930000000,0,0.000500000001,0.177,0.1767142857,0.0002857143,0.000500000001,0.329,0.3286428571,0.0003571429,0.000500000001,0.000837,0.0008373733,3.733e-07,5.00001e-07,1968.059,1968.0590000000,0,0.000500000001,1969.707,1969.7070000000,0,0.000500000001,PASS
AUDIT_DSTTR_15,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,15,2023.03.29 05:00:00,2023.03.29 05:00:00,2023.03.29 05:00,1,1,short,short,1,131.174,131.1744705091,0.000470509099983,0.000500000001,0.533,0.5325294909,0.0004705091,0.000500000001,0.291,0.2910560630,5.6063e-05,0.000500000001,1.82965,1.8296457574,4.24259999998e-06,5.000001e-06,0.188,0.1875714286,0.0004285714,0.000500000001,0.165,0.1651428571,0.0001428571,0.000500000001,0.293,0.2930714286,7.14286e-05,0.000500000001,0.000101,0.0001012123,2.123e-07,5.00001e-07,1966.164,1966.1640000000,0,0.000500000001,1966.363,1966.3630000000,0,0.000500000001,PASS
AUDIT_DSTTR_17,DSTTR,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,17,2023.03.31 00:30:00,2023.03.31 00:30:00,2023.03.31 00:30,1,1,short,short,1,132.636,132.6364401299,0.000440129899999,0.000500000001,0.600,0.5995598701,0.0004401299,0.000500000001,0.178,0.1784962583,0.0004962583,0.000500000001,3.35895,3.3589492344,7.65600000285e-07,5.000001e-06,0.165,0.1646428571,0.0003571429,0.000500000001,0.157,0.1572857143,0.0002857143,0.000500000001,0.250,0.2497142857,0.0002857143,0.000500000001,0.000390,0.0003901206,1.206e-07,5.00001e-07,1978.875,1978.8750000000,0,0.000500000001,1979.647,1979.6470000000,0,0.000500000001,PASS
