row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
DSTTR_C_06,DSTTR,candidate,2023.03.24 03:30:00,,,PASS,514,130.5530000000,130.5610000000,130.2470000000,130.3340000000,0.3140000000,130.8853042676,-0.5513042676,0.2673267731,-2.0622860227,0.1991428571,0.1815714286,0.3405000000,2023.03.24 03:30:00,1990.3490000000,1992.8150000000,0.0012389787,1,1,long,1,0
DSTTR_C_07,DSTTR,candidate,2023.03.24 10:00:00,,,PASS,501,129.7570000000,129.9740000000,129.6360000000,129.8870000000,0.3380000000,130.5705483502,-0.6835483502,0.2084302522,-3.2795064202,0.2535000000,0.1856428571,0.3405000000,2023.03.24 10:00:00,1994.3920000000,1997.1000000000,0.0013578073,1,1,long,1,0
DSTTR_K_04,DSTTR,control,2023.03.24 15:30:00,,,PASS,490,130.3730000000,130.6520000000,130.3200000000,130.6310000000,0.3320000000,130.4685112156,0.1624887844,0.2054351974,0.7909490996,0.2955714286,0.1886428571,0.3405000000,2023.03.24 15:30:00,1993.2960000000,1987.2500000000,-0.0030331672,0,0,short,1,0
AUDIT_DSTTR_13,DSTTR,audit_bridge,2023.03.27 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,13,PASS,460,131.2780000000,131.3150000000,131.1270000000,131.2640000000,0.1880000000,130.6999416147,0.5640583853,0.3315377699,1.7013397461,0.1930000000,0.1767142857,0.3286428571,2023.03.27 06:30:00,1968.0590000000,1969.7070000000,0.0008373733,1,0,short,1,1
DSTTR_C_08,DSTTR,candidate,2023.03.27 10:30:00,,,PASS,452,131.4240000000,131.5640000000,131.4120000000,131.4630000000,0.1520000000,130.8566799800,0.6063200200,0.2796871144,2.1678511047,0.2139285714,0.1767142857,0.3262142857,2023.03.27 10:30:00,1953.9080000000,1949.7180000000,-0.0021444203,1,1,short,1,0
DSTTR_C_09,DSTTR,candidate,2023.03.27 16:30:00,,,PASS,440,131.5430000000,131.6380000000,131.5430000000,131.5970000000,0.0960000000,131.1199649651,0.4770350349,0.2108857744,2.2620541198,0.1648571429,0.1763571429,0.3146428571,2023.03.27 16:30:00,1957.0890000000,1955.8200000000,-0.0006484120,1,1,short,0,0
DSTTR_C_10,DSTTR,candidate,2023.03.28 03:00:00,,,PASS,419,130.6730000000,130.7010000000,130.6130000000,130.6210000000,0.0880000000,131.1543899841,-0.5333899841,0.3360815948,-1.5870847801,0.1458571429,0.1708571429,0.3035000000,2023.03.28 03:00:00,1960.2190000000,1960.3900000000,0.0000872352,1,0,long,0,0
DSTTR_K_05,DSTTR,control,2023.03.28 08:00:00,,,PASS,409,131.1590000000,131.2420000000,131.1350000000,131.2000000000,0.1070000000,131.0549545549,0.1450454451,0.4102762877,0.3535311435,0.1641428571,0.1688571429,0.3020714286,2023.03.28 08:00:00,1953.9320000000,1953.1630000000,-0.0003935654,0,0,short,0,0
AUDIT_DSTTR_15,DSTTR,audit_bridge,2023.03.29 05:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,15,PASS,367,131.7060000000,131.7500000000,131.6580000000,131.7070000000,0.0920000000,131.1744705091,0.5325294909,0.2910560630,1.8296457574,0.1875714286,0.1651428571,0.2930714286,2023.03.29 05:00:00,1966.1640000000,1966.3630000000,0.0001012123,1,0,short,1,1
DSTTR_C_11,DSTTR,candidate,2023.03.29 06:00:00,,,PASS,365,131.8880000000,132.0290000000,131.8820000000,131.8870000000,0.1470000000,131.2315274280,0.6554725720,0.2995451897,2.1882259992,0.1893571429,0.1651428571,0.2924285714,2023.03.29 06:00:00,1963.0510000000,1962.0140000000,-0.0005282593,1,1,short,1,0
DSTTR_C_12,DSTTR,candidate,2023.03.29 14:00:00,,,PASS,349,132.3670000000,132.4290000000,132.2180000000,132.3580000000,0.2110000000,131.6579377703,0.7000622297,0.3667663365,1.9087417793,0.2152142857,0.1670000000,0.2924285714,2023.03.29 14:00:00,1965.6070000000,1966.3570000000,0.0003815615,1,0,short,1,1
DSTTR_C_13,DSTTR,candidate,2023.03.29 20:00:00,,,PASS,337,132.8190000000,132.8710000000,132.8190000000,132.8480000000,0.0520000000,132.0605436987,0.7874563013,0.3045805290,2.5853796497,0.1760000000,0.1682857143,0.2924285714,2023.03.29 20:00:00,1963.1640000000,1963.5610000000,0.0002022246,1,1,short,1,1
DSTTR_C_14,DSTTR,candidate,2023.03.30 03:30:00,,,PASS,322,132.6020000000,132.6750000000,132.5950000000,132.6650000000,0.0800000000,132.3351776208,0.3298223792,0.1954640617,1.6873811805,0.1467142857,0.1638571429,0.2828571429,2023.03.30 03:30:00,1960.4380000000,1959.5660000000,-0.0004447986,1,0,short,0,0
DSTTR_K_06,DSTTR,control,2023.03.30 07:30:00,,,PASS,314,132.3080000000,132.4350000000,132.2570000000,132.3990000000,0.1780000000,132.3707796396,0.0282203604,0.2655601268,0.1062673102,0.1497142857,0.1606428571,0.2750714286,2023.03.30 07:30:00,1967.2840000000,1966.6300000000,-0.0003324380,0,0,short,0,0
AUDIT_DSTTR_17,DSTTR,audit_bridge,2023.03.31 00:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,17,PASS,280,133.2970000000,133.5030000000,133.2290000000,133.2360000000,0.2740000000,132.6364401299,0.5995598701,0.1784962583,3.3589492344,0.1646428571,0.1572857143,0.2497142857,2023.03.31 00:30:00,1978.8750000000,1979.6470000000,0.0003901206,1,1,short,1,1
DSTTR_C_15,DSTTR,candidate,2023.03.31 08:30:00,,,PASS,264,133.3010000000,133.5880000000,133.2910000000,133.4780000000,0.2970000000,132.8302486835,0.6477513165,0.1839779750,3.5208090344,0.2192857143,0.1572857143,0.2412857143,2023.03.31 08:30:00,1976.5310000000,1975.1560000000,-0.0006956633,1,1,short,1,0
DSTTR_K_07,DSTTR,control,2023.03.31 16:00:00,,,PASS,249,132.7490000000,132.8770000000,132.7070000000,132.8090000000,0.1700000000,132.9470792394,-0.1380792394,0.2175404504,-0.6347290315,0.2180714286,0.1588571429,0.2432857143,2023.03.31 16:00:00,1979.6500000000,1978.6520000000,-0.0005041295,0,0,long,1,1
AUDIT_DSTTR_19,DSTTR,audit_bridge,2023.04.03 04:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,19,PASS,224,133.4230000000,133.4900000000,133.3960000000,133.4650000000,0.0940000000,133.0630948746,0.4019051254,0.2255442206,1.7819349318,0.1992142857,0.1582142857,0.2382142857,2023.04.03 04:30:00,1951.3260000000,1952.5410000000,0.0006226535,1,0,short,1,1
DSTTR_C_16,DSTTR,candidate,2023.04.03 06:00:00,,,PASS,221,133.4840000000,133.7080000000,133.4540000000,133.6950000000,0.2540000000,133.1174913613,0.5775086387,0.2299762695,2.5111662175,0.2052857143,0.1582142857,0.2369285714,2023.04.03 06:00:00,1953.6640000000,1954.3560000000,0.0003542063,1,1,short,1,1
DSTTR_K_08,DSTTR,control,2023.04.04 01:30:00,,,PASS,182,132.6830000000,132.8190000000,132.6200000000,132.7830000000,0.1990000000,132.6950204959,0.0879795041,0.3965616161,0.2218558241,0.1402142857,0.1554285714,0.2272857143,2023.04.04 01:30:00,1981.4560000000,1978.2170000000,-0.0016346565,0,0,short,0,0
DSTTR_C_17,DSTTR,candidate,2023.04.04 15:00:00,,,PASS,155,131.8240000000,131.8860000000,131.7330000000,131.7780000000,0.1530000000,132.6660560213,-0.8880560213,0.3314217031,-2.6795349033,0.2482857143,0.1569285714,0.2260000000,2023.04.04 15:00:00,2016.1120000000,2017.9130000000,0.0008933035,1,1,long,0,0
AUDIT_DSTTR_21,DSTTR,audit_bridge,2023.04.04 20:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,21,PASS,145,131.6410000000,131.6670000000,131.6330000000,131.6670000000,0.0340000000,132.3208352124,-0.6538352124,0.4070565293,-1.6062516269,0.1919285714,0.1569285714,0.2272857143,2023.04.04 20:00:00,2021.8000000000,2021.3850000000,-0.0002052626,1,0,long,1,1
DSTTR_C_18,DSTTR,candidate,2023.04.04 23:00:00,,,PASS,139,131.6810000000,131.7070000000,131.3570000000,131.3960000000,0.3500000000,132.1680143698,-0.7720143698,0.4196827091,-1.8395191249,0.1060000000,0.1548571429,0.2268571429,2023.04.04 23:00:00,2020.5720000000,2023.2600000000,0.0013303164,1,0,long,0,0
DSTTR_K_09,DSTTR,control,2023.04.05 09:30:00,,,PASS,118,131.6860000000,131.7130000000,131.6150000000,131.6300000000,0.0980000000,131.8208855509,-0.1908855509,0.3475641924,-0.5492094843,0.1710000000,0.1527142857,0.2245000000,2023.04.05 09:30:00,2022.2620000000,2024.5020000000,0.0011076705,0,0,long,1,0
DSTTR_C_19,DSTTR,candidate,2023.04.05 16:30:00,,,PASS,104,131.0950000000,131.2370000000,131.0610000000,131.1800000000,0.1760000000,131.5379851758,-0.3579851758,0.2063050540,-1.7352225210,0.2490714286,0.1532142857,0.2259285714,2023.04.05 16:30:00,2020.7410000000,2021.3190000000,0.0002860337,1,0,long,0,0
DSTTR_C_20,DSTTR,candidate,2023.04.06 19:00:00,,,PASS,51,131.7490000000,131.8430000000,131.7490000000,131.8390000000,0.0940000000,131.4969283114,0.3420716886,0.2271216871,1.5061163595,0.1590000000,0.1473571429,0.2250000000,2023.04.06 19:00:00,2009.1950000000,2007.2480000000,-0.0009690448,1,0,short,1,0
DSTTR_K_10,DSTTR,control,2023.04.06 20:30:00,,,PASS,48,131.8020000000,131.8100000000,131.7610000000,131.7740000000,0.0490000000,131.5308142362,0.2431857638,0.2324121258,1.0463557480,0.0882142857,0.1470000000,0.2250000000,2023.04.06 20:30:00,2006.9610000000,2007.7610000000,0.0003986126,0,0,short,0,1
