row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
AUDIT_WINTER_7,WINTER,audit_bridge,2023.01.11 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,7,PASS,714,132.3530000000,132.5770000000,132.3400000000,132.5540000000,0.2370000000,132.1524211939,0.4015788061,0.1477508985,2.7179449342,0.1589285714,0.1497142857,0.2661428571,2023.01.11 02:30:00,1874.5790000000,1874.9330000000,0.0001888424,1,1,short,1,1
WINTER_C_06,WINTER,candidate,2023.01.11 02:30:00,,,PASS,714,132.3530000000,132.5770000000,132.3400000000,132.5540000000,0.2370000000,132.1524211939,0.4015788061,0.1477508985,2.7179449342,0.1589285714,0.1497142857,0.2661428571,2023.01.11 02:30:00,1874.5790000000,1874.9330000000,0.0001888424,1,1,short,1,1
WINTER_K_04,WINTER,control,2023.01.11 18:00:00,,,PASS,683,132.4830000000,132.6980000000,132.2780000000,132.5240000000,0.4200000000,132.4192515837,0.1047484163,0.1171394687,0.8942196638,0.1840000000,0.1587857143,0.2661428571,2023.01.11 18:00:00,1873.7780000000,1875.0670000000,0.0006879150,0,0,short,1,1
WINTER_C_07,WINTER,candidate,2023.01.11 23:00:00,,,PASS,673,132.3950000000,132.4030000000,131.8500000000,131.8660000000,0.5530000000,132.3964557796,-0.5304557796,0.1360187157,-3.8998734604,0.1778571429,0.1581428571,0.2661428571,2023.01.11 23:00:00,1874.9290000000,1877.2670000000,0.0012469806,1,1,long,1,0
AUDIT_WINTER_9,WINTER,audit_bridge,2023.01.11 23:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,9,PASS,672,131.8620000000,132.0150000000,131.7670000000,131.8900000000,0.2480000000,132.3757841151,-0.4857841151,0.1682510776,-2.8872570804,0.1879285714,0.1581428571,0.2661428571,2023.01.11 23:30:00,1877.2690000000,1876.9390000000,-0.0001757873,1,1,long,1,1
WINTER_C_08,WINTER,candidate,2023.01.12 11:00:00,,,PASS,649,131.0010000000,131.0300000000,130.8690000000,130.9060000000,0.1610000000,131.8197533632,-0.9137533632,0.3757860197,-2.4315789184,0.2391428571,0.1598571429,0.2670000000,2023.01.12 11:00:00,1884.3280000000,1885.1790000000,0.0004516199,1,1,long,1,0
WINTER_C_09,WINTER,candidate,2023.01.12 19:30:00,,,PASS,632,129.4380000000,129.4400000000,129.2420000000,129.2940000000,0.1980000000,130.8062015642,-1.5122015642,0.5509553908,-2.7446896599,0.5255714286,0.1611428571,0.2741428571,2023.01.12 19:30:00,1896.6650000000,1897.7450000000,0.0005694205,1,1,long,0,0
AUDIT_WINTER_11,WINTER,audit_bridge,2023.01.13 00:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,11,PASS,622,128.8950000000,129.2910000000,128.8530000000,129.2170000000,0.4380000000,130.2601435754,-1.0431435754,0.4734658197,-2.2032077753,0.2457857143,0.1638571429,0.2770714286,2023.01.13 00:30:00,1899.6900000000,1898.0730000000,-0.0008511915,1,1,long,1,1
WINTER_C_10,WINTER,candidate,2023.01.13 05:00:00,,,PASS,613,129.2140000000,129.2490000000,129.1230000000,129.2460000000,0.1260000000,129.9013093316,-0.6553093316,0.4298590146,-1.5244750242,0.2578571429,0.1638571429,0.2770714286,2023.01.13 05:00:00,1895.9440000000,1894.4230000000,-0.0008022389,1,0,long,1,1
WINTER_C_11,WINTER,candidate,2023.01.13 13:00:00,,,PASS,597,128.5290000000,128.6340000000,128.3160000000,128.3910000000,0.3180000000,129.2501961599,-0.8591961599,0.3342297978,-2.5706749233,0.3248571429,0.1665714286,0.2824285714,2023.01.13 13:00:00,1896.5110000000,1898.0090000000,0.0007898715,1,1,long,0,0
