row_id,window,sample_type,timestamp,source_audit_file,source_ticket,row_status,bar_shift,usd_open,usd_high,usd_low,usd_close,usd_tr,ema48,residual,sigma48,z_score,atr14,atr_p20,atr_p80,xau_bar_time,xau_open,xau_close,xau_return,v1_candidate,v3_candidate,direction,atr_regime_pass,xau_filter_pass
SUMMER_C_04,SUMMER,candidate,2023.07.07 20:30:00,,,PASS,774,142.0470000000,142.0930000000,142.0300000000,142.0890000000,0.0630000000,142.9453871465,-0.8563871465,0.3935879650,-2.1758468824,0.1315000000,0.0955000000,0.1755714286,2023.07.07 20:30:00,1924.4890000000,1925.3390000000,0.0004416757,1,1,long,1,0
AUDIT_SUMMER_11,SUMMER,audit_bridge,2023.07.10 19:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,11,PASS,729,141.3050000000,141.3230000000,141.2750000000,141.3040000000,0.0480000000,142.1312097367,-0.8272097367,0.3561951691,-2.3223496789,0.1580000000,0.0936428571,0.1766428571,2023.07.10 19:00:00,1925.7540000000,1925.6420000000,-0.0000581590,1,1,long,1,1
SUMMER_C_05,SUMMER,candidate,2023.07.10 22:30:00,,,PASS,722,141.2230000000,141.2870000000,141.1890000000,141.2840000000,0.0980000000,141.9130835900,-0.6290835900,0.3448192887,-1.8243863107,0.0842857143,0.0929285714,0.1766428571,2023.07.10 22:30:00,1924.6790000000,1925.0590000000,0.0001974355,1,0,long,0,0
AUDIT_SUMMER_13,SUMMER,audit_bridge,2023.07.11 01:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,13,PASS,716,141.1320000000,141.2030000000,141.0630000000,141.0660000000,0.1400000000,141.7612246284,-0.6952246284,0.3422209325,-2.0315081937,0.1197142857,0.0925714286,0.1765714286,2023.07.11 01:30:00,1926.8030000000,1925.4900000000,-0.0006814397,1,1,long,1,1
SUMMER_C_06,SUMMER,candidate,2023.07.11 09:30:00,,,PASS,700,140.4940000000,140.5840000000,140.4090000000,140.4090000000,0.1750000000,141.2219990420,-0.8129990420,0.2190577574,-3.7113455911,0.1972142857,0.0930000000,0.1789285714,2023.07.11 09:30:00,1935.8660000000,1937.9540000000,0.0010785871,1,1,long,0,0
SUMMER_C_07,SUMMER,candidate,2023.07.11 22:00:00,,,PASS,675,140.3240000000,140.3240000000,140.2170000000,140.2450000000,0.1200000000,140.6945406273,-0.4495406273,0.1929946942,-2.3292900826,0.0979285714,0.0939285714,0.1834285714,2023.07.11 22:00:00,1932.2280000000,1933.2260000000,0.0005165022,1,1,long,1,0
AUDIT_SUMMER_15,SUMMER,audit_bridge,2023.07.12 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,15,PASS,666,139.5620000000,139.6800000000,139.5230000000,139.5900000000,0.1570000000,140.4035958080,-0.8135958080,0.2177460958,-3.7364426908,0.1803571429,0.0939285714,0.1819285714,2023.07.12 02:30:00,1940.1930000000,1940.0520000000,-0.0000726732,1,1,long,1,1
SUMMER_C_08,SUMMER,candidate,2023.07.12 08:30:00,,,PASS,654,139.6250000000,139.7300000000,139.5530000000,139.6010000000,0.1770000000,140.0680268799,-0.4670268799,0.2004733975,-2.3296202177,0.1902142857,0.0952142857,0.1835714286,2023.07.12 08:30:00,1934.9420000000,1934.7370000000,-0.0001059463,1,1,long,0,1
SUMMER_C_09,SUMMER,candidate,2023.07.12 19:00:00,,,PASS,633,138.3150000000,138.4040000000,138.2850000000,138.3900000000,0.1190000000,139.3054011007,-0.9154011007,0.2976247455,-3.0756888149,0.2645000000,0.0959285714,0.1874285714,2023.07.12 19:00:00,1957.6890000000,1957.5700000000,-0.0000607860,1,1,long,0,1
AUDIT_SUMMER_17,SUMMER,audit_bridge,2023.07.13 00:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,17,PASS,623,138.3180000000,138.3870000000,138.0680000000,138.2230000000,0.3190000000,138.9872925224,-0.7642925224,0.2628477323,-2.9077386956,0.1255000000,0.0959285714,0.1885000000,2023.07.13 00:00:00,1957.7140000000,1957.3070000000,-0.0002078955,1,1,long,1,1
