window,sample_type,row_id,timestamp,mql_status,py_ema48,mql_ema48,diff_ema48,tol_ema48,py_residual,mql_residual,diff_residual,tol_residual,py_sigma48,mql_sigma48,diff_sigma48,tol_sigma48,py_z_score,mql_z_score,diff_z_score,tol_z_score,py_atr14,mql_atr14,diff_atr14,tol_atr14,py_atr_p20,mql_atr_p20,diff_atr_p20,tol_atr_p20,py_atr_p80,mql_atr_p80,diff_atr_p80,tol_atr_p80,py_xau_return,mql_xau_return,diff_xau_return,tol_xau_return,py_xau_bar_time,mql_xau_bar_time,py_xau_open,mql_xau_open,py_xau_close,mql_xau_close,py_v1_candidate,mql_v1_candidate,py_v3_candidate,mql_v3_candidate,py_direction,mql_direction,py_atr_regime_pass,mql_atr_regime_pass,py_xau_filter_pass,mql_xau_filter_pass,row_status
DSTTR,candidate,DSTTR_C_01,2023.03.20 04:30:00,PASS,132.346005805,132.346005805,3.60387275578e-11,1.32346005805e-06,-0.536005804536,-0.5360058045,3.60460550297e-11,1e-06,0.320405475711,0.3204054757,1.05755959545e-11,1e-06,-1.67289839023,-1.6728983902,2.67128541509e-11,1e-06,0.240785714286,0.2407857143,1.42870992814e-11,1e-06,0.147428571429,0.1474285714,2.85668433353e-11,1e-06,0.326214285714,0.3262142857,1.42862388586e-11,1e-06,0.000316074996898,0.000316075,3.10243600558e-12,1e-06,2023.03.20 04:30:00,2023.03.20 04:30:00,1974.215,1974.2150000000,1974.839,1974.8390000000,1,1,0,0,long,long,1,1,0,0,PASS
DSTTR,candidate,DSTTR_C_02,2023.03.20 10:30:00,PASS,131.887563055,131.887563055,3.02975422528e-11,1.31887563055e-06,-0.60456305487,-0.6045630549,3.02852187772e-11,1e-06,0.351300914987,0.351300915,1.25353616376e-11,1e-06,-1.72092650226,-1.7209265023,4.11397582667e-11,1e-06,0.356357142857,0.3563571429,4.28568291966e-11,1e-06,0.151642857143,0.1516428571,4.28523883045e-11,1e-06,0.329714285714,0.3297142857,1.42806322323e-11,1e-06,-0.00145445635849,-0.0014544564,4.15050511321e-11,1e-06,2023.03.20 10:30:00,2023.03.20 10:30:00,1983.559,1983.5590000000,1980.674,1980.6740000000,1,1,0,0,long,long,0,0,1,1,PASS
DSTTR,control,DSTTR_K_02,2023.03.21 11:00:00,PASS,131.672900484,131.672900484,2.49258391705e-11,1.31672900484e-06,0.508099516275,0.5080995163,2.491906681e-11,1e-06,0.349241941601,0.3492419416,1.3819501099e-12,1e-06,1.45486396607,1.4548639661,3.31292770994e-11,1e-06,0.213357142857,0.2133571429,4.28554691734e-11,1e-06,0.156428571429,0.1564285714,2.85753365414e-11,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,-0.000212326519582,-0.0002123265,1.95822510225e-11,1e-06,2023.03.21 11:00:00,2023.03.21 11:00:00,1968.666,1968.6660000000,1968.248,1968.2480000000,0,0,0,0,short,short,1,1,0,0,PASS
DSTTR,candidate,DSTTR_C_03,2023.03.21 17:00:00,PASS,131.889845008,131.889845008,8.18545231596e-12,1.31889845008e-06,0.614154991608,0.6141549916,8.18856094043e-12,1e-06,0.37808648867,0.3780864887,3.02766700599e-11,1e-06,1.62437698784,1.6243769878,3.96325194885e-11,1e-06,0.248,0.248,2.63677968348e-15,1e-06,0.160142857143,0.1601428571,4.28584667755e-11,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,-0.00323767907528,-0.0032376791,2.47160607952e-11,1e-06,2023.03.21 17:00:00,2023.03.21 17:00:00,1944.294,1944.2940000000,1937.999,1937.9990000000,1,1,0,0,short,short,1,1,0,0,PASS
DSTTR,control,DSTTR_K_03,2023.03.22 17:30:00,PASS,132.493123398,132.493123398,4.10409484175e-11,1.32493123398e-06,0.00287660185896,0.0028766019,4.10421167538e-11,1e-06,0.151940783314,0.1519407833,1.40912281843e-11,1e-06,0.0189323879752,0.018932388,2.48018827698e-11,1e-06,0.1715,0.1715,3.33066907388e-15,1e-06,0.167,0.167,4.4408920985e-16,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,-0.000143355621107,-0.0001433556,2.11074549224e-11,1e-06,2023.03.22 17:30:00,2023.03.22 17:30:00,1946.209,1946.2090000000,1945.93,1945.9300000000,0,0,0,0,short,short,1,1,0,0,PASS
DSTTR,candidate,DSTTR_C_04,2023.03.22 18:00:00,PASS,132.46491428,132.46491428,4.95390395372e-11,1.3246491428e-06,-0.66291427985,-0.6629142798,4.95593566185e-11,1e-06,0.152954376398,0.1529543764,2.27148855281e-12,1e-06,-4.33406546097,-4.334065461,3.02664560081e-11,1e-06,0.222357142857,0.2223571429,4.28592161761e-11,1e-06,0.167,0.167,3.60822483003e-15,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,0.00715261340944,0.0071526134,9.44151094112e-12,1e-06,2023.03.22 18:00:00,2023.03.22 18:00:00,1946.002,1946.0020000000,1959.921,1959.9210000000,1,1,1,1,long,long,1,1,0,0,PASS
DSTTR,candidate,DSTTR_C_05,2023.03.23 01:30:00,PASS,131.877599365,131.877599365,3.76587649953e-11,1.31877599365e-06,-0.989599365238,-0.9895993652,3.76659814449e-11,1e-06,0.547068544946,0.5470685449,4.58435511774e-11,1e-06,-1.80891293126,-1.8089129313,4.0846215299e-11,1e-06,0.233357142857,0.2333571429,4.28614921333e-11,1e-06,0.171071428571,0.1710714286,2.85707013603e-11,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,-0.000253357880446,-0.0002533579,1.95544405863e-11,1e-06,2023.03.23 01:30:00,2023.03.23 01:30:00,1969.546,1969.5460000000,1969.047,1969.0470000000,1,1,0,0,long,long,1,1,1,1,PASS
DSTTR,candidate,DSTTR_C_06,2023.03.24 03:30:00,PASS,130.885304268,130.885304268,2.54090082308e-11,1.30885304268e-06,-0.551304267625,-0.5513042676,2.53974619113e-11,1e-06,0.267326773089,0.2673267731,1.09106057522e-11,1e-06,-2.06228602266,-2.0622860227,3.63833407846e-11,1e-06,0.199142857143,0.1991428571,4.28559132626e-11,1e-06,0.181571428571,0.1815714286,2.8575364297e-11,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,0.00123897869168,0.0012389787,8.32333789565e-12,1e-06,2023.03.24 03:30:00,2023.03.24 03:30:00,1990.349,1990.3490000000,1992.815,1992.8150000000,1,1,1,1,long,long,1,1,0,0,PASS
DSTTR,candidate,DSTTR_C_07,2023.03.24 10:00:00,PASS,130.57054835,130.57054835,5.42854650121e-12,1.3057054835e-06,-0.683548350205,-0.6835483502,5.42732525588e-12,1e-06,0.208430252186,0.2084302522,1.37834743619e-11,1e-06,-3.27950642018,-3.2795064202,1.52322598979e-11,1e-06,0.2535,0.2535,4.4408920985e-16,1e-06,0.185642857143,0.1856428571,4.28584112644e-11,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,0.00135780729165,0.0013578073,8.35419277159e-12,1e-06,2023.03.24 10:00:00,2023.03.24 10:00:00,1994.392,1994.3920000000,1997.1,1997.1000000000,1,1,1,1,long,long,1,1,0,0,PASS
DSTTR,control,DSTTR_K_04,2023.03.24 15:30:00,PASS,130.468511216,130.468511216,3.27418092638e-11,1.30468511216e-06,0.162488784433,0.1624887844,3.27531612943e-11,1e-06,0.205435197417,0.2054351974,1.65774338701e-11,1e-06,0.790949099648,0.7909490996,4.84969842063e-11,1e-06,0.295571428571,0.2955714286,2.85730883398e-11,1e-06,0.188642857143,0.1886428571,4.28564961297e-11,1e-06,0.3405,0.3405,3.33066907388e-16,1e-06,-0.00303316717638,-0.0030331672,2.36247488586e-11,1e-06,2023.03.24 15:30:00,2023.03.24 15:30:00,1993.296,1993.2960000000,1987.25,1987.2500000000,0,0,0,0,short,short,1,1,0,0,PASS
