month,requested_from,requested_to,parser_valid,parser_invalid_reason,probe_valid,invalid_reason,finalization_event,JPY_M30_bars,XAU_M30_bars,exact_intersection,info_availability_ratio,common_session_alignment_ratio,GateA_status,GateB_status,jpy_dup,xau_dup,jpy_non_monotonic,xau_non_monotonic,outside_requested_month,methodA_jpy_count,methodB_jpy_count,methodA_xau_count,methodB_xau_count,methodA_methodB_jpy_equal,methodA_methodB_xau_equal,journal_jpy_bars,journal_minus_filtered,first_jpy,last_jpy,first_xau,last_xau,journal_reconciliation,month_engineering_status,month_data_status,month_pass,tester_log_path,check_failures
2019-12,2019.12.01,2020.01.01,1,,1,,OnTester,982,942,942,95.9267,100.0000,PASS,PASS,0,0,0,0,0,982,982,942,942,1,1,982,0,2019.12.01 00:00,2019.12.31 17:30,2019.12.01 00:00,2019.12.31 17:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-01,2020.01.01,2020.02.01,1,,1,,OnTester,1055,1005,1005,95.2607,100.0000,PASS,PASS,0,0,0,0,0,1055,1055,1005,1005,1,1,1055,0,2020.01.02 00:00,2020.01.31 21:30,2020.01.02 00:00,2020.01.31 21:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-02,2020.02.01,2020.03.01,1,,1,,OnTester,964,916,916,95.0207,100.0000,PASS,PASS,0,0,0,0,0,964,964,916,916,1,1,964,0,2020.02.02 00:00,2020.02.28 21:30,2020.02.02 00:00,2020.02.28 21:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-03,2020.03.01,2020.04.01,1,,1,,OnTester,1067,1021,1021,95.6888,100.0000,PASS,PASS,0,0,0,0,0,1067,1067,1021,1021,1,1,1067,0,2020.03.01 00:00,2020.03.31 23:30,2020.03.01 00:00,2020.03.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-04,2020.04.01,2020.05.01,1,,1,,OnTester,1060,969,969,91.4151,100.0000,PASS,PASS,0,0,0,0,0,1060,1060,969,969,1,1,1060,0,2020.04.01 00:00,2020.04.30 23:30,2020.04.01 00:00,2020.04.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-05,2020.05.01,2020.06.01,1,,1,,OnTester,1013,963,963,95.0642,100.0000,PASS,PASS,0,0,0,0,0,1013,1013,963,963,1,1,1013,0,2020.05.01 00:00,2020.05.31 23:30,2020.05.01 00:00,2020.05.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-06,2020.06.01,2020.07.01,1,,1,,OnTester,1060,1016,1016,95.8491,100.0000,PASS,PASS,0,0,0,0,0,1060,1060,1016,1016,1,1,1060,0,2020.06.01 00:00,2020.06.30 23:30,2020.06.01 00:00,2020.06.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-07,2020.07.01,2020.08.01,1,,1,,OnTester,1102,1050,1050,95.2813,100.0000,PASS,PASS,0,0,0,0,0,1102,1102,1050,1050,1,1,1102,0,2020.07.01 00:00,2020.07.31 20:30,2020.07.01 00:00,2020.07.31 20:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-08,2020.08.01,2020.09.01,1,,1,,OnTester,1019,975,975,95.6820,100.0000,PASS,PASS,0,0,0,0,0,1019,1019,975,975,1,1,1019,0,2020.08.02 00:00,2020.08.31 23:30,2020.08.02 00:00,2020.08.31 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
2020-09,2020.09.01,2020.10.01,1,,1,,OnTester,1060,1008,1008,95.0943,100.0000,PASS,PASS,0,0,0,0,0,1060,1060,1008,1008,1,1,1060,0,2020.09.01 00:00,2020.09.30 23:30,2020.09.01 00:00,2020.09.30 23:30,PASS,PASS,PASS,1,C:\Users\UIC\AppData\Roaming\MetaQuotes\Terminal\53785E099C927DB68A545C249CDBCE06\Tester\logs\20260914.log,
